what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1294609279149
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609294162
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294609300756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609302663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609343732
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294609343866
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294609344079
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294609344176
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609347382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609357253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609470873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294610413508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668027017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668259801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294674238522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294674239794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755233156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755234975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755235130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755243578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755252186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755265707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755268092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755270921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761698310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761698966
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761703082
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1294761706431
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1294761706459
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1294761706578
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1294761706663
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1294761706706
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1294761706801
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1294761706848
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1294761706848
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1294761706878
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1294761706888
